CodigoPrestador,NombrePrestador,TipoIdentificacion,NumeroIdentificacion,NaturalezaJuridica,ESE,DepartamentoPrestador,MunicipioPrestador,DireccionPrestador,EmailPrestador,TelefonoPrestador,FechaCorte,municipios_count,sedes_count,id_entidad,razon_social,codigo_postal,pagina_web,ambito_SIIF
0500102185,ORGANIZACIÓN MEDICO ODONTOLOGICA NACIONAL INTEGRADA SA,NI,811037385,Privada,NO,Antioquia,05001,CL 33 # 74 E- 56,coordinacion.calidad@omnisalud.co,5742503921,Fecha corte REPS: Jul 4 2023 1:19PM,3,7,,,,,
0500102186,CLINICA COLSANITAS S A,NI,800149384,Privada,NO,Antioquia,05001,CL 16 Sur # 44 - 08,sfiguero@colsanitas.com,4484121,Fecha corte REPS: Jul 4 2023 1:19PM,1,3,,,,,
0500102231,ODONTOVIDA SAS,NI,811034488,Privada,NO,Antioquia,05001,CALLE 35A # 66A-98,odontogerencia@une.net.co,5744489191,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500102393,ESE HOSPITAL CARISMA,NI,890985405,Pública,SI,Antioquia,05001,CARRERA 93 N 34 AA 01,dorganizacional@esecarisma.gov.co,6050233,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,123305000,E.S.E. Centro de Rehabilitación Integral en Salud Mental de Antioquia,50033,http://esecarisma.gov.co,No
0500102421,DEPARTAMENTO DE RADIOLOGIA S.A,NI,890933123,Privada,NO,Antioquia,05001,CALLE 51 N°45-93 OFICINA 309,gerencia@dptoradiologia.com,4032585,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500102514,CENTRO DE MEDICINA DEL EJERCICIO Y REHABILITACION CARDIACA S A S CEMDE S A S,NI,800009793,Privada,NO,Antioquia,05001,CL 33A  # 74 b-175,gerente@cemde.com,3222656,Fecha corte REPS: Jul 4 2023 1:19PM,2,4,,,,,
0500102583,PROINSA LIMITADA,NI,800093689,Privada,NO,Antioquia,05001,KR 51 # 90 - 02,proinsa1999facturacion@gmail.com,3168772932 / 3013686000 / 3106805854,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500102679,CENTRO DE AUDIOLOGIA E IMPLANTES COCLEARES SAS,NI,811012234,Privada,NO,Antioquia,05001,Calle 54 N° 46-27 Cons 306,caic@une.net.co,5742318799,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500102682,LABORATORIO DE ENDOCRINOLOGÍA S.A.S,NI,890922028,Privada,NO,Antioquia,05001,KR 32 # 1B SUR-51 LC 124,camilo.abad@abadlaboratorio.com,3124646,Fecha corte REPS: Jul 4 2023 1:19PM,1,6,,,,,
0500102796,TERAPIA RESPIRATORIA LAS VEGAS S.A.S,NI,800187947,Privada,NO,Antioquia,05001,CALLE 2 SUR # 46-55 CONS 164 FASE II,terapiar@une.net.co,2685596,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500102846,ANESTESIOLOGOS LAS AMERICAS LTDA SALAM LTDA,NI,800205837,Privada,NO,Antioquia,05001,DG 75B # 2A-80 TO Médica Las Américas CS 813,diana.arango.j@gmail.com,5743459284,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500102989,EL COMITÉ DE REHABILITACIÓN DE ANTIOQUIA,NI,890981590,Privada,NO,Antioquia,05001,Carrera 50 No. 63 95,direccion@elcomite.org.co,320 21 60,Fecha corte REPS: Jul 4 2023 1:19PM,1,5,,,,,
0500103042,OPTILENTES LIMITADA,NI,890941955,Privada,NO,Antioquia,05001,CARRERA 32 Nº 41 - 35,optilentes@hotmail.com,3003184090,Fecha corte REPS: Jul 4 2023 1:19PM,1,3,,,,,
0500103293,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,NI,890925336,Privada,NO,Antioquia,05001,KR  64B # 34-57,jefecalidad@clinicaconquistadores.com,6052252 Ext 2170,Fecha corte REPS: Jul 4 2023 1:19PM,2,4,,,,,
0500103448,UNIVERSIDAD PONTIFICIA BOLIVARIANA,NI,890902922,Privada,NO,Antioquia,05001,KR 73 # C2 - 46,centrodeatencionpsicologica@upb.edu.co,5744151100,Fecha corte REPS: Jul 4 2023 1:19PM,1,5,,,,,
0500103468,ESCANOGRAFÍA NEUROLÓGICA S.A,NI,890930071,Privada,NO,Antioquia,05001,CL 59 #50 A 14,escanografia@une.net.co,4445690,Fecha corte REPS: Jul 4 2023 1:19PM,3,3,,,,,
0500103536,CENTRO DE SALUD Y BELLEZA S.A.S,NI,811027462,Privada,NO,Antioquia,05001,Calle 2 Sur #46-116 Torre Salud Vegas Oficina 1206,comercial@matizsaludybelleza.com,4441197 OPC 3,Fecha corte REPS: Jul 4 2023 1:19PM,2,3,,,,,
0500103549,ASCODES SAS,NI,811000798,Privada,NO,Antioquia,05001,CL 49 B #64B 112 CS 302,ascodes@ascodes.com,4366060,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500103725,CENTROLAB S.A.S.,NI,800178906,Privada,NO,Antioquia,05001,CALLE 57A N° 48-21 SECTOR VILLANUEVA,gerencia@centrolab.com.co,6042204,Fecha corte REPS: Jul 4 2023 1:19PM,1,4,,,,,
0500103726,"COOPERATIVA DE TRABAJO ASOCIADO SALUD INTEGRAL COOPERATIVA "" SINCO""",NI,800184718,Privada,NO,Antioquia,05001,CL 55 # 46-49,sincoop@hotmail.com,5745133036,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500103795,INSTITUTO CARDIOVASCULAR Y DE ESTUDIOS ESPECIALES LAS VEGAS S.A. INCARE S.A.,NI,800196652,Privada,NO,Antioquia,05001,CARRERA 46 N° 2 SUR -45 CONS. 058-062-054-255-256,incare@incare.com.co,3119495,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500103815,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.,NI,890904996,Pública,NO,Antioquia,05001,CL 78B # 69  240,uo5170@epm.com.co,3807200,Fecha corte REPS: Jul 4 2023 1:19PM,5,6,230105001,Empresas Públicas de Medellín,50012,http://www.epm.com.co,No
0500103816,Centro Antioqueño de Salud y Prevención del Cáncer Ginecológico CAPRECAN,NI,890980448,Privada,NO,Antioquia,05001,CARRERA 43A No. 34 - 95 local 255,caprecan@gmail.com,4753300,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500103920,FRACTURAS Y RAYOS X DE ANTIOQUIA S.A.,NI,800094324,Privada,NO,Antioquia,05001,CARRERA 74 N° 49-11,gerencia@fracturasantioquia.com,4446330,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500103923,CLINICA DE FRACTURAS DE MEDELLÍN S.A.S,NI,890934747,Privada,NO,Antioquia,05001,KR 45 # 53 -38,elkin.garces@cfmed.co,4441516,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500103951,BIOFORMA S.A. MEDICINA ESPECIALIZADA,NI,811026259,Privada,NO,Antioquia,05001,CARRERA 25B N° 16A SUR-211,info@bioforma.com.co,(4) 3171626,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500103963,SYNLAB COLOMBIA S.A.S.,NI,800087565,Privada,NO,Antioquia,05001,CL 19 A # 44 - 25 CS 203,alejandra.serna@synlab.co,604 5166740 opc 3,Fecha corte REPS: Jul 4 2023 1:19PM,7,23,,,,,
0500103969,LABORATORIO MÉDICO ECHAVARRÍA S.A.S,NI,890906793,Privada,NO,Antioquia,05001,KR 46 # 14-175,gescalidad@labechavarria.com,3147737822,Fecha corte REPS: Jul 4 2023 1:19PM,5,14,,,,,
0500103978,SALUD MENTAL INTEGRAL SOCIEDAD POR ACCIONES SIMPLIFICADA,NI,811005113,Privada,NO,Antioquia,05001,CALLE 33 N° 63B-151,mejoramientocontinuo@samein.com.co,4444891,Fecha corte REPS: Jul 4 2023 1:19PM,2,6,,,,,
0500104172,UNIDAD ESTOMATOLOGICA LAS VEGAS S.A,NI,800166631,Privada,NO,Antioquia,05001,CALLE 2 SUR N° 46-55 CONS. 120,veronica.zapata@oralaser.com.co,4440840,Fecha corte REPS: Jul 4 2023 1:19PM,2,5,,,,,
0500104201,Sociedad de Medicina de Laboratorio S.A.S.,NI,800032038,Privada,NO,Antioquia,05001,CALLE 51 N° 45-93 CONS. 105,coordinacioncalidad@laboratoriotest.co,5131366,Fecha corte REPS: Jul 4 2023 1:19PM,2,2,,,,,
0500104207,RTS S.A.S,NI,805011262,Privada,NO,Antioquia,05001,Carrera 57  44A-10,daniel_hoyos@baxter.com,2042050,Fecha corte REPS: Jul 4 2023 1:19PM,3,3,,,,,
0500104210,CENTRO DE ORTOPEDIA Y TRAUMATOLOGIA EL ESTADIO S.A,NI,890933857,Privada,NO,Antioquia,05001,CARRERA 74 N° 48B - 77,coordinacioncalidad@coesa.co,2307288,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500104246,AUDIOLOGIA Y VESTIBULOMETRIA S.A.S,NI,890928334,Privada,NO,Antioquia,05001,CALLE 54 N° 45-63 CONS. 402,calidad@audivel.com.co,2313555,Fecha corte REPS: Jul 4 2023 1:19PM,3,4,,,,,
0500104259,Servicios de Salud IPS Suramericana S.A.S,NI,811007832,Privada,NO,Antioquia,05001,KR 63 # 49 A 31 ED CAMACOL,RqExt@suramericana.com.co,4607444,Fecha corte REPS: Jul 4 2023 1:19PM,7,31,,,,,
0500104265,ODONTOPLUS SAS,NI,811022711,Privada,NO,Antioquia,05001,CL 48 #44 - 32,correodesandr@yahoo.com,3220664,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500104273,VILCABAMBA S.A.S,NI,800068448,Privada,NO,Antioquia,05001,CARRERA 41 N° 16BSUR-107,gerencia@plenitudotonal.com,4441765,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500104336,CEDIMED S.A.S,NI,811007144,Privada,NO,Antioquia,05001,CL 7 # 39 - 290 PI 3 - PI 10 LC 1008 - PI 11 LC 1110 y 1111 - PI 13 LC 1304,cedimed@cedimed.com,4440019,Fecha corte REPS: Jul 4 2023 1:19PM,1,8,,,,,
0500104347,COOPERATIVA ANTIOQUEÑA DE SALUD COOPSANA,NI,800168083,Privada,NO,Antioquia,05001,Cra 80 N° 49-34 - Barrio:Calasanz,coopsanaips@coopsana.com.co,4440055,Fecha corte REPS: Jul 4 2023 1:19PM,2,13,,,,,
0500104471,HERMANAS HOSPITALARIAS DEL SAGRADO CORAZÓN DE JESÚS,NI,860007760,Privada,NO,Antioquia,05001,CARRERA 50 N° 62-63,gerencia@hospitalariasmedellin.org,2631551,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500104629,CLINICA MEDICO ODONTOLOGICA PROMTA S.A.S,NI,800057784,Privada,NO,Antioquia,05001,CL 56 # 41-38,elizabeth.arias@promta.com.co,5744448400,Fecha corte REPS: Jul 4 2023 1:19PM,2,3,,,,,
0500104648,CLINICA DEL PRADO S.A.S,NI,890938774,Privada,NO,Antioquia,05001,CL 19 A # 44 - 25,david.mejia@clinicadelprado.com.co,5765700 Extensión 8010,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500104789,"ASOCIACIÓN MEDELLIN DE LUCHA CONTRA EL CANCER """"MEDICANCER""""""",NI,890919272,Privada,NO,Antioquia,05001,KR 51 D # 67 - 60,secretariadireccion@medicancer.org,4484411,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500104827,INSTITUTO MEDICO ANTIOQUIA,NI,800181473,Privada,NO,Antioquia,05001,CARRERA 77 N° 30-35,naltema2013@gmail.com,2385907,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500104830,CARDIOESTUDIO SAS,NI,800158328,Privada,NO,Antioquia,05001,KR 46 # 2SUR - 45 CS 356,luz.ortiz@cardioestudio.com,5744444941,Fecha corte REPS: Jul 4 2023 1:19PM,2,2,,,,,
0500104831,ANGIOLOGIA MEDICA DIAGNOSTICA SAS,NI,811004569,Privada,NO,Antioquia,05001,KR 46 #2 SUR 45 CS 369,luz.ortiz@cardioestudio.com,5744444941,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500104834,FUNDACIÓN GUAYAQUIL PARA LA PROMOCIÓN HUMANA,NI,890901047,Privada,NO,Antioquia,05001,CALLE 49 N° 40-79,fundagua@une.net.co,2166100,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500104917,ASOCIACIÓN PROFAMILIA,NI,860013779,Privada,NO,Antioquia,05001,CL 54 # 43-47,mroyo@profamilia.org.co,(604)2836688,Fecha corte REPS: Jul 4 2023 1:19PM,6,8,,,,,
0500105011,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,NI,890980136,Pública,NO,Antioquia,05001,KR 48 # 7 - 151,politecnicnicojic@edu.co,5743105177,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,120305000,Politécnico Colombiano Jaime Isaza Cadavid,50022,http://www.politecnicojic.edu.co,No
0500105275,UNIDAD ECODIAGNÓSTICA SAS,NI,800207133,Privada,NO,Antioquia,05001,CALLE 2 SUR N° 46-55 CONS. 112 FASE I,ecodiagnosticaltda@une.net.co,4082452,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500105429,VASCULAB SAS,NI,811008372,Privada,NO,Antioquia,05001,CALLE 54 N°46-27 OFICINA 1301,vasculab@une.net.co,5123863,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500105481,CARDIOVASCULARES LAS AMERICAS SAS,NI,811010022,Privada,NO,Antioquia,05001,DIAGONAL 75B N° 2A-120 LC147,labvamericas@correo1lasamericas.com,3421010,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500105482,FUNDACION HOSPITAL INFANTIL SANTA ANA,NI,890901684,Privada,NO,Antioquia,05001,Cl 14 # 43 B 146,direccion@hisantaana.com,5744441101,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500105494,CLINICA DE IMPLANTES DENTALES EL POBLADO DE LAS VEGAS SA,NI,800230755,Privada,NO,Antioquia,05001,KR 47a # 5-19,contabilidad@clinicadeimplantes.com.co,2665422,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500105495,GRUPO DOS MIL CLINICA COLOMBIANA DE IMPLANTES DENTALES S A,NI,890941638,Privada,NO,Antioquia,05001,TV  34 No 72 160,info@clinicacolombianadeimplantes.com,3225262,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500105568,CAJA DE COMPENSACION FAMILIAR DE ANTIOQUIA COMFAMA,NI,890900841,Privada,NO,Antioquia,05001,Cra 45 # 49 A -16,Gescobar@comfama.com.co,6045105072,Fecha corte REPS: Jul 4 2023 1:19PM,22,57,,,,,
0500105586,FUNDACION COLOMBIANA DE CANCEROLOGIA CLINICA VIDA,NI,800241602,Privada,NO,Antioquia,05001,AVENIDA 33 N° 63 A 18,clinicavida@clinicavida.com,4480016 Ext 3602,Fecha corte REPS: Jul 4 2023 1:19PM,2,6,,,,,
0500105616,INSTITUTO DE CANCEROLOGIA S.A.S.,NI,800149026,Privada,NO,Antioquia,05001,DG 75B # 2A -80 140,dircalidad@lasamericas.com.co,3409393,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500105692,UNIDAD DE OSTEOPOROSIS S.A.S,NI,811007558,Privada,NO,Antioquia,05001,CARRERA 50A N°64-65,uporosis@une.net.co,4484898,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500105801,INSTITUTO METROPOLITANO DE ECOGRAFIA SAS,NI,800067401,Privada,NO,Antioquia,05001,CL 54 # 45 - 31,imeco@imeco.com.co,5744485850,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500105816,FUNDACIÓN CLÍNICA NOEL,NI,890901825,Privada,NO,Antioquia,05001,calle 14 # 43B- 146 Poblado-Manila,gerencia@clinicanoel.org.co,6042156 - 6040949,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500105883,CLINICA LASER DE PIEL SAS,NI,811014239,Privada,NO,Antioquia,05001,KR 43 C # 5 87,coordinadora.medellin@clinicalaserdepiel.com.co,2667953,Fecha corte REPS: Jul 4 2023 1:19PM,1,3,,,,,
0500105887,CENTRO DE DIAGNOSTICO OTOLOGICO S.A.S,NI,890922977,Privada,NO,Antioquia,05001,CL 51 # 45 - 93 CS 107 ED CLINICA SOMA,audiologia@otologiamedellin.com,5118378,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
